Date,gold_open,gold_high,gold_low,gold_close,gold_volume,oil_open,oil_high,oil_low,oil_last,oil_volume,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume
,GC=F,GC=F,GC=F,GC=F,GC=F,CL=F,CL=F,CL=F,CL=F,CL=F,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2025-05-01,3272.89990234375,3275.0,3198.60009765625,3210.0,2131,58.15999984741211,59.5,56.38999938964844,59.2400016784668,364216,99.6500015258789,100.37999725341797,99.61000061035156,100.25,0,5625.14013671875,5658.91015625,5597.35009765625,5604.14013671875,4935270000
2025-05-02,3239.89990234375,3257.0,3225.0,3231.89990234375,1349,58.9900016784668,59.869998931884766,57.7400016784668,58.290000915527344,322096,100.18000030517578,100.33000183105469,99.4000015258789,100.0,0,5645.8798828125,5700.7001953125,5642.27978515625,5686.669921875,4854380000
2025-05-05,3242.699951171875,3315.699951171875,3239.699951171875,3311.300048828125,244,56.7599983215332,57.70000076293945,55.29999923706055,57.130001068115234,308387,100.0,100.05000305175781,99.45999908447266,99.83000183105469,0,5655.31982421875,5683.3798828125,5634.47998046875,5650.3798828125,4358260000
2025-05-06,3365.5,3430.89990234375,3356.800048828125,3411.39990234375,2357,57.25,59.84000015258789,57.029998779296875,59.09000015258789,343893,99.83000183105469,100.0999984741211,99.16999816894531,99.23999786376953,0,5605.8701171875,5649.580078125,5586.0400390625,5606.91015625,4717260000
2025-05-07,3418.699951171875,3418.699951171875,3364.699951171875,3381.39990234375,1080,58.97999954223633,60.2599983215332,57.810001373291016,58.06999969482422,295238,99.5,99.97000122070312,99.29000091552734,99.61000061035156,0,5614.18017578125,5654.72998046875,5578.64013671875,5631.27978515625,4987440000
2025-05-08,3390.0,3390.0,3288.699951171875,3296.60009765625,200,57.93000030517578,60.290000915527344,57.7400016784668,59.90999984741211,281000,99.8499984741211,100.76000213623047,99.61000061035156,100.63999938964844,0,5663.60009765625,5720.10009765625,5635.3798828125,5663.93994140625,5627400000
2025-05-09,3299.0,3335.5,3299.0,3335.39990234375,216,60.25,61.45000076293945,59.88999938964844,61.02000045776367,239640,100.63999938964844,100.86000061035156,100.08999633789062,100.33999633789062,0,5679.64990234375,5691.68994140625,5644.14990234375,5659.91015625,4645090000
2025-05-12,3300.699951171875,3300.699951171875,3205.0,3220.0,886,61.38999938964844,63.61000061035156,61.02000045776367,61.95000076293945,325865,100.69000244140625,101.9800033569336,100.51000213623047,101.79000091552734,0,5807.2001953125,5845.3701171875,5786.080078125,5844.18994140625,6014580000
2025-05-13,3232.0,3251.39990234375,3223.5,3240.300048828125,2424,62.0,63.900001525878906,61.650001525878906,63.66999816894531,258795,101.7300033569336,101.76000213623047,100.91000366210938,101.0,0,5854.14990234375,5906.64013671875,5845.02001953125,5886.5498046875,5516290000
2025-05-14,3233.0,3233.0,3171.699951171875,3181.39990234375,3518,63.619998931884766,63.68000030517578,62.75,63.150001525878906,225626,100.94999694824219,101.13999938964844,100.2699966430664,101.04000091552734,0,5896.740234375,5906.5498046875,5872.10986328125,5892.580078125,5233450000
2025-05-15,3151.0,3228.10009765625,3125.0,3220.699951171875,652,62.880001068115234,62.90999984741211,60.470001220703125,61.619998931884766,258404,100.97000122070312,101.05999755859375,100.58999633789062,100.87999725341797,0,5869.81982421875,5924.2099609375,5865.16015625,5916.93017578125,4991290000
2025-05-16,3227.699951171875,3228.10009765625,3173.89990234375,3182.0,199,61.70000076293945,62.709999084472656,61.25,62.4900016784668,121556,100.7699966430664,101.26000213623047,100.5199966430664,101.08999633789062,0,5929.08984375,5958.6201171875,5907.35986328125,5958.3798828125,4850850000
2025-05-19,3234.39990234375,3241.0,3228.300048828125,3228.89990234375,266,62.75,63.400001525878906,61.56999969482422,62.689998626708984,95570,100.91000366210938,100.91000366210938,100.05999755859375,100.43000030517578,0,5902.8798828125,5968.60986328125,5895.68994140625,5963.60009765625,4144010000
2025-05-20,3219.0,3293.199951171875,3207.5,3280.300048828125,356,62.68000030517578,63.16999816894531,62.189998626708984,62.560001373291016,250414,100.43000030517578,100.58000183105469,100.01000213623047,100.12000274658203,0,5944.66015625,5953.06005859375,5909.259765625,5940.4599609375,4416850000
2025-05-21,3293.39990234375,3317.5,3290.199951171875,3309.300048828125,979,62.27000045776367,64.19000244140625,61.279998779296875,61.56999969482422,302702,99.98999786376953,99.98999786376953,99.33999633789062,99.55999755859375,0,5910.18017578125,5938.3701171875,5830.91015625,5844.60986328125,5254250000
2025-05-22,3327.300048828125,3328.0,3282.699951171875,3292.300048828125,1210,61.33000183105469,61.75,60.25,61.20000076293945,258549,99.63999938964844,100.12000274658203,99.44000244140625,99.95999908447266,0,5841.259765625,5878.080078125,5825.81982421875,5842.009765625,5157050000
