Model,MAE,MSE,RMSE,R2 Test,R2 Train,Accuracy,Fit Status
Linear Regression,4.811653198753976,67.63942831119621,8.224319322059195,0.999691656929206,0.9997770400371817,0.9934066402104135,Good
Random Forest,10.132809665953925,240.03806585494885,15.493161906303982,0.9989057554716069,0.9991405322310059,0.9861151132371022,Good
